Timestamp,ID,Ext,RTR,Dir,Bus,Len,ASCII,Data
11:20:56.800,0x1A0 (Speed),0,0,Rx,1,16,.,61.30
11:20:57.011,0x420 (Voltage),0,0,Rx,1,16,.,95.10
11:20:57.219,0x420 (Voltage),0,0,Rx,1,17,.,91.44
11:20:57.417,0x316 (Temp),0,0,Rx,1,17,.,50.52
11:20:57.616,0x316 (Temp),0,0,Rx,1,17,.,72.11
11:20:57.821,0x420 (Voltage),0,0,Rx,1,17,.,67.62
11:20:58.020,0x1A0 (Speed),0,0,Rx,1,17,.,86.30
11:20:58.236,0x208 (RPM),0,0,Rx,1,17,.,90.94
11:20:58.436,0x1A0 (Speed),0,0,Rx,1,17,.,65.66
11:20:58.635,0x1A0 (Speed),0,0,Rx,1,17,.,77.46
11:20:58.836,0x208 (RPM),0,0,Rx,1,17,.,73.10
11:20:59.037,0x208 (RPM),0,0,Rx,1,18,.,55.29
