Timestamp,ID,Ext,RTR,Dir,Bus,Len,ASCII,Data
11:19:59.338,0x1A0 (Speed),0,0,Rx,1,17,.,84.98
11:19:59.537,0x420 (Voltage),0,0,Rx,1,16,.,52.54
11:19:59.744,0x1A0 (Speed),0,0,Rx,1,17,.,65.33
11:19:59.952,0x208 (RPM),0,0,Rx,1,17,.,91.98
11:20:00.151,0x1A0 (Speed),0,0,Rx,1,17,.,60.89
11:20:00.353,0x316 (Temp),0,0,Rx,1,17,.,72.63
11:20:00.553,0x1A0 (Speed),0,0,Rx,1,17,.,60.93
11:20:00.754,0x420 (Voltage),0,0,Rx,1,17,.,82.92
11:20:00.968,0x1A0 (Speed),0,0,Rx,1,17,.,89.02
11:20:01.169,0x208 (RPM),0,0,Rx,1,17,.,50.62
11:20:01.370,0x1A0 (Speed),0,0,Rx,1,17,.,96.87
11:20:01.569,0x1A0 (Speed),0,0,Rx,1,18,.,63.55
11:20:01.770,0x208 (RPM),0,0,Rx,1,17,.,96.46
11:20:01.980,0x1A0 (Speed),0,0,Rx,1,17,.,98.28
11:20:02.186,0x1A0 (Speed),0,0,Rx,1,17,.,52.27
11:20:02.386,0x316 (Temp),0,0,Rx,1,17,.,65.12
11:20:02.586,0x420 (Voltage),0,0,Rx,1,17,.,72.01
11:20:02.787,0x316 (Temp),0,0,Rx,1,15,.,76.73
11:20:02.996,0x316 (Temp),0,0,Rx,1,17,.,99.83
11:20:03.196,0x420 (Voltage),0,0,Rx,1,17,.,77.60
11:20:03.420,0x1A0 (Speed),0,0,Rx,1,17,.,85.86
11:20:03.621,0x316 (Temp),0,0,Rx,1,17,.,78.43
11:20:03.820,0x316 (Temp),0,0,Rx,1,17,.,91.37
